aabad,Populated
deeptimay,Lustrous
deeptimoy,Lustrous
deepu,Lights
deeraj,Patience
deeran,Victory, Achiever, Lord Shiva
deergh,Large; Long
deeshan,Shows the Path to Others
deevakar,The Sun
deevansh,Sun's particle; Similar to Diwakar - Sun's Ansh 
deeven,Heavenly
deevesh,Light 
deevyam,Part of Divine
deevyansh,Part of the Divine Light
deewakar,The Sun; Lord of light 
deewakar,Sun
deeyank, 
deh,Body
dehabhuj,Another name of Lord Shiva 
dehabhuj,Another Name for Lord Shiva
dehan,Good
dehansh,Part of Body
dehay,Dhayan 
dehesh,Part of the Body
deheshwar,Lord of the Body; The Soul
dehiya,Sweet Curd
deiva,Deity
deivam,Part of God
deivamani,Blessed Gem
deivan,God
deivendran, 
deivigan,Spritual; Divine
deivit,Divine; Immortal; Like a God
deivyan,Divine; Like an God
deja,Already 
dejesh,Nice
dekshit,Prepared; Initiated 
deleep,A King; Ancestor of Rama
deman,Judge; Man
demdhendra,Devotee of god 
denadayal,Humble and merciful 
denadayal,Humble and Merciful
denial,Lord Krishna; Self-disciplined
denish,Happy; Joyful
denzil, 
deo,Godlike; Dev
deochand,TBD
deodan,God's Present; Devdan
deoram,Lord Ram
depak,Shining Brightly; Lamp
depanjan,God's Eye
depanshu,Ray of Light
depeen,Inflaming; Exciting; Perfect
depen,Master of Deepak; Master of Light
deppendu,Bright Moon
depyesh,Respect
desaka,One who Directs; Ruler; Guide
desaraj,King of a Country
desaraja,King of a Country
desh,Country
deshad,A Country / Nation
deshak,One who directs; Guide; One who governs; Ruler; Showing; Pointing out 
deshanth, 
deshavanth, 
deshayan,Unknown 
deshayan,TBD
deshik,Guru 
deshik,One of Own Country, A Guru
deshraj,King of a Country
deshva,Lord Shiva; Lord of the World; Leader 
desighan,God Murugan
desingh,Name of King
deu,Morality Preserver
dev,God; King; Light; Heavenly; Cloud 
dev,Divine, Poet, God, Respect
dev kumar,Son of God 
dev naren,Lord Shiva; Lord of men 
dev-kishan,Lord Krishna
dev-kumar,Son of God
dev-rudran,Lord Shiva
dev-saagar,Divine Power of Ocean
deva,Deity; A Divine Being Angel
deva nandana,God 
devaa,Deity
devaan,Divine; Worshipper of the God
devaansh,Part of God; Eternal part of God; Demigod 
devaansh,Part of Gods
devaapi,An Ancient King
devabal,With the Strength of Gods
devabandhu,A Friend of the Gods
devabhag,A Portion of the Gods
devabhakta,Devotee of the Gods
devabhraj,Luminous Like a God
devabhrata,Brother of the Gods
devabhuti,An Image of the Gods
devabodh,With Divine Knowledge
devabodhi,Inspired by God
devabrata,Bhishma 
devabrata,TBD
devachand,A Bright and Divine Necklace
devachit,The will of the Gods
devadars,Worshipper of God 
devadars,Worshipper of God
devadarsh,Observer of the Gods
devadarshan,Familiar with the gods 
devadas,Servant of God; Follower of God 
devadas,Follower of God; A Famous Novel
devadasa,Slave of the Gods
devadat,Gift of God
devadathan,Gift of God 
devadatt,Gift of the God 
devadatt,Gift of God
devadatta,Given by God; Gift of God
devadatta,Given by God 
devadeep,Lamp of the Gods
devadeva,Lord of all lords 
devadeva,Lord of All Lords
devadevan,God of God
devadhipa,Lord of the Gods
devadhipa,Lord of the god 
devadidev,God of the Gods
devadidev,The God of the gods 
devaditya,God of Sun
devaditya,God of The Sun 
devadoot,A Messenger of the Gods
devadoss,Feeling of Love
devadut,Given by devas 
devadut,Messenger of God
devadutt,King; Gift of God 
devadutt,Gift of God
devadyumma,Lord of the Gods
devadyumna,The glory of the god 
devadyumna,God's Glory
devagarbh,A Divine Child
devagiri,A Mountain; Belongs to Lord
devagopa,Shepherd of the Gods
devagupta,Guarded by the Gods
devaguru,Preceptor of the Gods
devagya,With knowledge of God 
devagyan,A Divine Song
devah,Desirous of Conquest
devahu,Invoking the Gods
devaiah,Deity, God
devain,Divine 
devain,Divine
devaj,From God
devaj,From God, Born of the gods 
devajanman,Gift of God; Born of the Gods
devajap,Meditating on the Gods
devajayoti,Light of God
devajit,Divinely Victorious
devajith,One who conquered devas 
devajuta,The one with the good 
devajuta,The One with the Good
devajya,TBD
devajyoti,Brightness of the Lord
devajyoti,The brightness of the Lord 
devak,Divine; Glorious; Pious
devakam,Loving the Gods; Pious
devakanta,Beloved of the Gods
devakantha,Beloved to god 
devakantha,Beloved of the Gods
devakinandan,Name of Lord Krishna 
devaksh,Divinely Beautiful Eyes
devaksha,Eyes like a Lord / God
devakumar,Son of God
deval,Godlike, Divine, Temple
deval,Name of a saint; Divine; Holy; Dedicated to the Gods 
devalay,Temple; Place of God
devalaya,Place of God; Temple
devam,God; Part of God; Lord Siva
devam, 
devamadana,Gladdening to gods 
devamadana,Gladdening / Pleasing the Gods
devamani,Lord Ayyappa; Jewel of the Gods 
devamaru,TBD
devamsh,Part of God 
devamshu,Part of God
devan,Men of Devon; Divine; Like a God
devan,Like a God; Food offered to the Gods; Holy 
devana,Divine
devanaman,Divine Joy
devanand,The joy of God; the Son of God 
devanand,Joy of God; Divine Joy
devanandan,The joy of God; The Son of God 
devanandan,Sonofgod
devanath,Lord of the Gods
devanathan,Godly 
devanathan,God Perumal
devance,Part of God, Presence of God
devanch,Approaching the Gods
devand, 
devandra,God Indra 
devandra,God Indra
devanesan,Pious
devanesh, 
devang,Divine; Part of God; Like a God 
devang,Part of God's Body; Part of God
devanjan,Divine Unguent
devank,Godly 
devank,Marked / Written by God / Lord
devankit,Divinely Written
devanna,Food Offered to the Gods
devansh,Part of God; Eternal part of God; Demigod 
devansh,Part of God, Presence of God
devansha,Part of God; Eternal part of God; Demigod 
devansha,Eternal Part of God
devanshu,A Part of God 
devanshu,A Part of God
devanshya,Part of God / Divine
devansu,Part of Godd / Lord
devant,Part of Divine, Without Limit
devantak,The Devotional Gift by God
devantakanashakarin,Destroyer of evils and asuras 
devanth,Divine
devapad,Divine feet 
devapad,The Feet of the God
devapi,An ancient king 
devapi,An Ancient King
devappa,Father of king 
devappa,Father of King
devapriya,Dear to the Gods
devapriyan,Darling to God 
devapuspa,King of Devdas, Indra
devarahalli, 
devaraj,King among the Gods; Name of Lord Indra 
devaraj,King of Gods
devarajalu,King of the Gods; Buddha 
devarajalu,King of the Gods; Buddha
devarajan,King of Devas
devarajan,Name of Lord Perumal 
devaraju,God; King of God
devaraju,King of God 
devaram,Name of a Divine Scripture
devarghya,Worshipper of God
devarishi,Rishi among the Gods 
devarpana,Offerings to the Gods
devarpana,Offerings to the gods 
devarsh,God's gift 
devarsh,Gift of God, Related to Mythology
devarshi,Another Name for Narad
devarshi,Teacher of the God; Sage of the Devas 
devarsi,Teacher of the God; Sage of the Devas 
devarsi,Sage of the Devas
devarya,Divine belief 
devarya,Divine Belief
devasanker,Belonging to Lord Shiva
devasenapati,Lord Murugan; Consort of Devasena; The army chief of heavenly Gods, Lord Murugan 
devash, 
devashis,Blessings of God
devashish,Given by Lord; Blessings of God
devashish,Benediction of God; Pleased by the Gods 
devashiya,Part of God / Divine
devashya,Like a God / Lord
devasish,Blessings of God
devasree,TBD
devasur,A Divine Hero
devasurya,God Sun
devasy,Lord of Lord; Like Gods
devat,An Artist; Artisan
devaughn,Divine Qualities; Little Deer
devavath,Guided by the Gods
devavidh,Knowing of the Gods
devavrat,Great Bhishma
devavrat,Oath of God; Another name of Bhishma 
devavrata,TBD
devavrata,One who accepts all penances 
devavrath,Bhishma
devavrath,Oath of God; Another name of Bhishma 
devay,Part of Divine, From Divine
devayan,Needing to the Gods 
devayan,Needing to the Gods
devayayi,TBD
devbhakta,Devotee of the Gods
devbrata,Bhishma of Mahabharat
devbrata,Bhishma 
devchandra,Moon Among the Gods
devdakshak, 
devdan,The gift of the gods 
devdan,The Gift of the Gods
devdarsh,Worshipper of God
devdarsh,Worshipper of God 
devdaru,Name of Tree
devdas,Servant of God; Follower of God 
devdas,Servant of God, Follower of God
devdath,God has given 
devdath,Son of God
devdatt,Given by God; Gift from God
devdatta,Given by God
devdatta,Given by God 
devdeep,Worshipper of God 
devdeep,A Divine Light / Lamp
devdharsh,Worshipper of God 
devdip,A Divine Lamp / Light
devdoot,A Divine Envoy, An Angel
devdutta,King
devdutta,King; Gift of God 
deveedaas,Servant of the God
devein,God; Divine
deven,TBD
deven,King of the Gods; Another name for Lord Indra 
devendar,King of God / Lord; Lord Indra
devender,God 
devender,King of Angels; Indra
devenderan,Name of Mallar; God of Indiran
devendra,King of the Gods; Lord Indra 
devendra,Chief of the Gods, King of Gods
devendran,King of the Gods; Lord Indra 
devendran,God, God of Indiran
devendranath,Lord of the King of the Gods 
devendrashika,Protector of all gods 
devendu,Part of Divine
devenn,God; Divine
deversh,God Gift; Given by Divine
devesh,King of the Gods; Another name for Indra; God of the Gods 
devesh,Kind, Name of Jesus, God of Gods
devesha,O Lord of All Lords
deveshta,Lord Shiva
deveshvar,The Sovereign of the Gods
deveshwar,Lord Shiva, Lord of the devas 
deveshwar,Lord Shiva
devesth,Best Among the Gods
devguru,Teacher of the Gods (Brihaspati) 
devguru,Teacher of Gods (Brihaspati)
devharsh,Joy of the Gods
devhish,Gift; Generosity; Charity
devi,A Goddess; Angel; Beloved; Godlike
devi dyal,Kind hearted 
devi-das,Servant of Goddess
devial,Ancient
devibalan,Servant of Goddess Durga
devidas,Servant; A devotee of Goddess 
devidas,Servant of God / Goddess
devik,Devine 
devik,Like an Divine, Immortal
devika,Little Goddess
devikanth,Son of Devi 
devilaal,Son of Goddess
devilal,Son of Goddess 
devilal,Son of Goddess
devin,Of a Little Deer, Poet
devinath,Shiva
devindar,King of Gods; Lord Indra
devinder,Fostered by God 
devinder,King of Gods; Lord Indra
devindra,King of Devas; Indra
devine,Oxen; Bard
devinesh,Part of Divine
deviprasad,Gift of Goddess 
deviprasad,Blessing / Gift of Goddess
devish,Chief of the Gods
devit,Divine; Like a God; Immortal
devith,Like a God; Divine
devjal,Divine Water
devji,Belonging to the gods 
devji,Belonging to the Gods
devjit,Divinely Victorious
devjyoti,Gift of goddess 
devjyoti,Gift of Goddess
devkant,God
devki nandan,Lord Krishna, Son of Devki (Son of Devki)
devkinandan,Son of Devki or Lord Krishna 
devkrishan,Divine; Lord Krishna
devkumar,Son of God 
devkumar,Son of God
devkus, 
devkusum,Divine Flower
devman,Divine Soul
devmanak,Jewel of the Gods
devmukil, 
devnaman,Bowing before the Gods
devnand,Lord Krishna
devnarayan,King 
devnarayan,King
devnaren,Lord Shiva
devnath,King of the Gods 
devnath,King of Gods; Lord Indra
devnayak,Leader of the Gods
devneet,Divinity
devnil, 
devnit,Divinity
devo,Deity
devon,English and American Place Name
devpad,Divine feet 
devpad,Divine Feet
devpal,TBD
devpreyo,Lovable to God; Brave
devpushp,Flower of the Gods
devraaj,King of Heaven, King Among Gods
devraj,King among the Gods; Name of Lord Indra 
devraj,Lord Indra; King of Devas / Gods
devrajsinh,King of Devas / Gods
devram,Absorbed in Divine Needs; Virtuous
devrat,Spiritual; Name of an ancient king 
devrat,Spiritual; Very Spiritual Man
devrata,TBD
devratan,Divine Diamond / Jewel
devrath,Another Name of Bhishma, Pious
devray,Decision of God
devrit,God-given
devrity,TBD
devroop,Shadow of God; Like God
devrsh,Gift of God; Given by God
devrup,Beauty of Divine
devrupam,Idol / Form of Divine / God
devrupi,Of Divine Form; Godlike
devrushi,A Rishi Among the Gods
devsena,Army of gods 
devsena,Army of Gods
devshankar,Belongs to Lord Shiva
devshanker,Belonging to Lord Shiva
devshay,Resting God
devshi,Part of God / Divine
devshlok,Verdict of Gods
devshru,Known to the Gods
devshrut,With Divine Knowledge, A God
devsinh,The Lion of the Gods
devta,Divine; Godlike
devu,God Shiva; Mahadev
devusum, 
devvrat,Bhishma 
devvrat,Bhishma; Son of Ganga
devvrata,Spiritual; Name of an ancient king 
devvrata,TBD
devya,Holy; Divine Power
devyahnan, 
devyam,A part of the divine 
devyan,Serving the gods, Chariot of the gods 
devyan,Like an God, Divine
devyang,Part of Divine / God
devyank,Part of Divine
devyansh,Part of God; Part of the divine light 
devyansh,Part of God
devyansu,Part of Divine / God
devyesh,Full of Divinity; The Lamp of Sun
devyn,Poet
devyraj,Divine Kingdom
dew,Friend, Divine, Favourite
dewa,Deity, God, A Divine Being Angel
dewain,Dark; Song
dewal,Divine; Holy; Godlike
dewalay,Temple; Place of God
dewan,Dark
dewanand,Divine Joy
dewang,Part of God's Body; Also Spelt as …
dewansh,Part of God; Eternal part of God; Demigod 
dewarsh,Gift of God
dewendra,Lord Indra, King of Gods
dewesh,King of the Gods; Another name for Indra; God of the Gods 
dewesh,God of God
dewjee,Belonging to the Gods
dewji,Belonging to the Lord
dewraj,King of Devas / Gods
deyaan,Concentration 
deyaan,Concentration
deyva,Deity, God / Lord
deyvayanakantan,Lord Murugan, Consort of Devayani 
deyyan,Concentration
dh,Sharp; Soft
dhaanish,Lord of Wealth; Rich
dhaaran,Keeping; Protecting 
dhaavak,Swift; A poet in the Harsha dynasty; Runner 
dhaavit,Cleaned; Purified 
dhadheechi,A Sage
dhadhichi,Well known sage 
dhaerye,Patient
dhaibat,Melody
dhairayt,Patience
dhairya,Patience; Patient; Courage 
dhairya,Patience; Brave; Courage
dhairyan,Patience; Courage; Bold
dhairyashil,Statue of courage and patience 
dhairyya,Patience 
dhaivat,Sound of Sa Re Ga Ma
dhaivik,Good strength 
dhaivik,Good Strength
dhaksh,Eshwar 
dhaksh,Alert
dhakshan,Lord Krishna / Ganesha / Muruga
dhakshesh,Lord Shiva; Lord of Daksha; An epithet of Shiva 
dhakshith,Lord Shiva 
dham,Name of Moon
dham,Strength; Light; Power; Place of pilgrimage 
dhaman,Ray; Light; Majesty; Glory; Splendor; Strength; Power; Home 
dhamavat,Owner of a House; Powerful; Strong
dhamendra,Dharm Dev 
dhamesh,Lord of Religion
dhamin,Responsible. Guarantor 
dhamodhar,Rope tied around Lord Krishna; A name of Lord Krishna 
dhamu,Lord Krishna
dhamyan,Abode; Glory; Lord Shiva
dhan,Wealth; Richness
dhan,Money; Wealth 
dhana,Money; Wealth
dhana,Money; Wealth 
dhanadeep, 
dhanadeepa,Lord of wealth 
dhanajay, 
dhanajayan,Lord Murugan; Conquering booty; Victorious in battle; An epithet of Soma; Name of fire; A designation of Arjun; Name of a Nag; Name of Vishnu 
dhanajayan,Lord Muruga
dhanaji,Rich 
dhanaji,Rich
dhanajit,Wealth 
dhanajit,Wealth
dhanaka,Avarice; A Son of Durmada
dhanam,Wealth; Money
dhanaman,Rich
dhanan,Wealthy
dhananad,The pleasure of having a wealth 
dhananad,Pleasure of Having Wealth
dhananjay,One who wins wealth 
dhananjaya,Partha; Arjun; Agni God; Fire 
dhananjaya,Fire; Warrior Arjuna
dhanapal,Guardian of Wealth; Rich Man
dhanapalan,Lord of Wealth
dhanapati,Lord of wealth 
dhanaraj,One who Wins Wealth
dhanarajan,TBD
dhanarjan,Money earner 
dhanasa,Granting a Reward
dhanasekar,Name of Lord Shiva
dhanasth,Rich
dhandar,One who Holds Money
dhaneesh,Lord of wealth; Star or name of a Nakshatra; Good little boy 
dhaneesh,Good Little Boy
dhanesa,Lord of Prosperity
dhanesh,Lord of wealth; Star or name of a Nakshatra; Good little boy 
dhanesh,God of Money; Lord of Wealth
dhanesha,Lord of Wealth, Lord of Money
dhaneshvar,God of wealth 
dhaneshvar,Rich
dhaneshwar,God of money 
dhaneshwar,God of Wealth; Name of Lord Shiva
dhaneswar,God of wealth 
dhanhanjay,Winning on Gold
dhani,Wealthy; Richness
dhaniesh,Full of Wealth
dhanik,Wealthy, Virtuous, Excellent
dhanikh,Rich
dhanin,Wealthy; Rich
dhaniram,The One who is Deeply Religious
dhanis,Lord of wealth; Clever and wisdom 
dhanish,God; Lord of Wealth
dhanisth,Dhanvan 
dhanit,Wealth; Richness
dhanith,Kindness 
dhanith,Kindness
dhanjay,Lord Krishna; Winning wealth; One who conquers over richness; Victorious over worldly objects 
dhanjay,Arjun; The Son of Kunti
dhanjit,Winner of Wealth
dhanmay,Richness; Full of Wealth
dhann,The Blessed One
dhanna,Lord Kubera
dhannu,Like Sun; Station
dhanpal,Preserver of wealth 
dhanpal,Rich; Preserver of Wealth
dhanpati,Lord of Wealth
dhanraj,Lord Kuber 
dhanraj,One who have Lots of Treasures
dhanshri,Rich
dhanshuk,Full of Wealth
dhansuk,Wealthy; Rich
dhansukh,Wealthy; Happy 
dhansukh,Rich; Wealthy; Happy
dhanu,Man of Wealth, The Bow
dhanu,Name of a Hindu Rashi sagittarius 
dhanu priya,The bow 
dhanuj,Awesome
dhanunjay,One of the Names of Arjuna 
dhanunjaya,Partha; Arjun; Agni God; Fire 
dhanunjaya,Warrior Arjuna; Fire or Agni God
dhanur,Bow Warrior
dhanurdhara,One with a bow in hand 
dhanus,Bow; Armed with Bow; Lord Shiva
dhanus,A bow in hand 
dhanush,A bow in hand 
dhanush,The Arrow and Bow
dhanusha,The Bow; A Rishi
dhanushith,TBD
dhanussh,Tool to Project Arrow
dhanvant,Wealthy 
dhanvant,Wealthy
dhanvantari,Doctor of the gods 
dhanvanth,Wealthy 
dhanveer,Wealthy
dhanvesh,Clothes of Wealth
dhanvik,King; Archer; Bowman; Prince
dhanvin,Lord Shiva; A name of Lord Rama 
dhanvin,Lord Shiva; Archer
dhanvine,Lord Shiva; A name of Lord Rama 
dhanvine,A Name for Lord Rama
dhanvir,Wealthy; Richness
dhanvish,Wealthy; Richness
dhanvit,Wealthy; Richness; King of Money
dhanvith,Lord Shiva 
dhanvith,Lord Shiva; Wealthy; King of Money
dhanwant,Lucky; Fortunate
dhanwanth,Wealthy 
dhanwi,Warrior
dhanwin,TBD
dhanya,Blessed, Giver of Wealth
dhar,Earth
dhar,Mountain; Holding; Sustaining; The Earth 
dharaja,Lord Shiva
dharak,The One who Holds
dharam,The Righteous and Religious Person
dharam,Religion; Law religious 
dharama,Dharm 
